2026-02-23T14:08:15.4431960+00:00 | eventType=config_updated | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1729360+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1741060+00:00 | eventType=pointer_shot | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1745310+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1791850+00:00 | eventType=task_stimulus_presented | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.1800320+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.3177770+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9842870+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9850960+00:00 | eventType=task_action_outcome | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9855890+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9860820+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9865580+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9874500+00:00 | eventType=pulse_target_hit | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9879160+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9886280+00:00 | eventType=pulse_target_spawned | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9890930+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9895990+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9900180+00:00 | eventType=pointer_shot | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9904690+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9978970+00:00 | eventType=task_stimulus_presented | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:18.9985300+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:19.1234660+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:19.6932140+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:19.6953660+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:19.6959300+00:00 | eventType=pointer_shot | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:19.6964210+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:19.8870160+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2901780+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2909380+00:00 | eventType=task_action_outcome | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2914300+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2920120+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2924660+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2933890+00:00 | eventType=pulse_target_hit | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2938150+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2942810+00:00 | eventType=pulse_targets_completed | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2946980+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2951960+00:00 | eventType=game_stopped | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=Completed
2026-02-23T14:08:20.2956440+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=Completed
2026-02-23T14:08:20.2962000+00:00 | eventType=task_outcome_summary | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2966500+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2971540+00:00 | eventType=task_label_generated | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2976000+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2987060+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2991300+00:00 | eventType=pointer_shot | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.2995510+00:00 | eventType=interaction_event | sessionId=mobile-dLxoPFss0wCV6nezOZfb-1771855683115 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.3050730+00:00 | eventType=game_end | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=Completed
2026-02-23T14:08:20.3057640+00:00 | eventType=game_result | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:20.3064390+00:00 | eventType=session_stop | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:08:20.4430060+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.5967010+00:00 | eventType=config_updated | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.5972700+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.5978140+00:00 | eventType=game_initialized | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.5989470+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.5994390+00:00 | eventType=task_run_started | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.5998870+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6004100+00:00 | eventType=pulse_targets_config | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6008680+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6013790+00:00 | eventType=game_started | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6018300+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6028500+00:00 | eventType=pulse_target_spawned | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6033470+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6047090+00:00 | eventType=game_start | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6055530+00:00 | eventType=session_start | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=START_GAME
2026-02-23T14:08:23.6060660+00:00 | eventType=task_stimulus_presented | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:23.6064170+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.0257750+00:00 | eventType=task_action_outcome | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.0264440+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.0269310+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.0274100+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7899810+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7907500+00:00 | eventType=task_action_outcome | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7912350+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7922570+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7927380+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7932280+00:00 | eventType=pulse_target_hit | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7936750+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7943530+00:00 | eventType=pulse_target_spawned | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7954170+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7965920+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7981870+00:00 | eventType=pointer_shot | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.7988460+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.8033670+00:00 | eventType=task_stimulus_presented | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.8043030+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:26.9426070+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2343920+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2351670+00:00 | eventType=task_action_outcome | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2356970+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2362070+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2366560+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2372230+00:00 | eventType=pulse_target_hit | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2376400+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2383890+00:00 | eventType=pulse_target_spawned | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2391850+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2396690+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2400750+00:00 | eventType=pointer_shot | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2404960+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2480550+00:00 | eventType=task_stimulus_presented | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.2487290+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:29.4151640+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1090990+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1097880+00:00 | eventType=task_action_outcome | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1102460+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1110560+00:00 | eventType=adaptive_difficulty_adjusted | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1114880+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1120140+00:00 | eventType=pulse_target_hit | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1124280+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1128620+00:00 | eventType=pulse_targets_completed | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1132740+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1136930+00:00 | eventType=game_stopped | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=Completed
2026-02-23T14:08:30.1140790+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=Completed
2026-02-23T14:08:30.1145400+00:00 | eventType=task_outcome_summary | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1149560+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1157230+00:00 | eventType=task_label_generated | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1161480+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1165890+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1169820+00:00 | eventType=pointer_shot | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1173520+00:00 | eventType=interaction_event | sessionId=636124de-2839-4754-85e8-2a10135a7ec0 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1247000+00:00 | eventType=game_end | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=Completed
2026-02-23T14:08:30.1253690+00:00 | eventType=game_result | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:30.1258700+00:00 | eventType=session_stop | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=ACTIVE_GAME_COMPLETED
2026-02-23T14:08:30.2901770+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.5963810+00:00 | eventType=config_updated | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.5973620+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.5978900+00:00 | eventType=game_initialized | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.5984070+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.5989480+00:00 | eventType=task_run_started | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.5994830+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6000330+00:00 | eventType=pulse_targets_config | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6005820+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6011890+00:00 | eventType=game_started | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6017090+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6025490+00:00 | eventType=pulse_target_spawned | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6044010+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6059570+00:00 | eventType=game_start | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6075360+00:00 | eventType=session_start | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=START_GAME
2026-02-23T14:08:32.6082080+00:00 | eventType=task_stimulus_presented | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:32.6086720+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:34.2481670+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:34.2490220+00:00 | eventType=task_action_outcome | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
2026-02-23T14:08:34.2495480+00:00 | eventType=interaction_event | sessionId=795d903b-4e0a-4dec-ae55-81e2a9467271 | gameId=pulse_target_tap | reason=
